"NO","X","Y","Year"
"708","46.305","'-15.723","1992"
"709","'-47.88","'-15.72","1965"
"710","46.31666667","'-15.71666667","1902"
"711","46.33","'-15.69","1926"
"712","46.34","'-15.69","1967"
"713","'-59.129","'-15.648","1974"
"714","'-67.73","'-15.617","1955"
"715","'-68.33","'-15.6","1975"
"716","'-40.43","'-15.58","1966"
"717","47.669","'-15.564","1928"
"718","'-40.905","'-15.538","1966"
"719","'-73.614","'-15.508","1962"
"720","'-74.625","'-15.434","1935"
"721","35.04","'-15.42","1963"
"722","'-74.325","'-15.325","1967"
"723","18.02","'-15.272","1926"
"724","'-41.466","'-15.222","1983"
"725","12.15222222","'-15.19611111","1922"
"726","'-55.758","'-15.175","1972"
"727","39.26857","'-15.11886","1950"
"728","'-41.97","'-15.08","1969"
"729","'-73.957","'-15.071","1962"
"730","40.691036","'-15.066136","1950"
"731","'-41.265","'-15.041","1970"
"732","'-42.313","'-14.998","1965"
"733","'-41.721","'-14.942","1969"
"734","'-41.975","'-14.879","1973"
"735","'-40.579","'-14.866","1953"
"736","'-40.834","'-14.85","1955"
"737","34.63234","'-14.81936","1950"
"738","'-69.082","'-14.804","1955"
"739","14.94141","'-14.79613","1933"
"740","15.00732","'-14.78551","1934"
"741","'-68.508","'-14.717","1976"
"742","'-42.491","'-14.669","1965"
"743","48.99","'-14.66","1976"
"744","48.75","'-14.56","1960"
"745","48.77","'-14.55","1975"
"746","48.88","'-14.54","1970"
"747","'-40.362","'-14.529","1974"
"748","44.664","'-14.5251","1926"
"749","'-42.231","'-14.493","1965"
"750","14.801","'-14.442","1975"
"751","48.78","'-14.44","1976"
"752","'-73.86795","'-14.42005","1931"
"753","31.8","'-14.4","2001"
"754","'-40.771","'-14.357","1974"
"755","31.8","'-14.33333333","2007"
"756","49.932","'-14.321","1974"
"757","'-51.96","'-14.28","1937"
"758","'-63.534","'-14.23","1961"
"759","'-72.195","'-14.223","1936"
